Employability (Before),Employability (After)
252,276
423,410
101,119
288,334
248,252
145,209
401,462
287,342
275,347
254,313
182,232
117,163
130,119
219,304
152,211
228,286
62,122
393,443
277,366
206,244
229,241
182,237
98,122
125,129
164,236
186,251
235,283
184,225
76,102
126,180
183,247
242,343
207,283
181,253
239,263
216,291
289,368
213,206
209,231
376,389
332,396
249,339
228,286
124,146
194,315
157,183
402,481
323,349
181,225
157,217
266,353
268,314
167,247
342,410
349,395
340,416
227,342
409,446
400,477
374,444
255,351
146,165
248,317
198,250
210,217
107,138
239,302
287,311
340,373
155,196
263,306
265,302
249,278
377,429
301,338
242,261
211,256
160,183
218,274
133,182
122,183
236,309
143,178
354,458
214,234
225,306
261,400
277,337
282,325
322,329
326,369
421,457
368,421
279,282
268,256
